number,contact_type,u_wait_reason,assignment_group,closed_at,resolved_at,u_subcategory,u_symptom,opened_at,sys_mod_count,reassignment_count
INC0120699,Email,,Service Desk,11/4/22 15:00,11/1/22 15:00,General Information,How To/Question,11/1/22 14:06,4,3
INC0120579,Self-service,,Service Desk,11/4/22 15:00,11/1/22 15:00,Computer (Desktop/Laptop),Relocate/Transfer,10/25/22 14:59,11,2
INC0120698,Email,,Service Desk,11/4/22 15:00,11/1/22 15:00,Bogus/Duplicate Record,Maintenance,11/1/22 13:34,2,0
INC0120518,Email,,Student Computing,11/4/22 15:00,11/1/22 15:00,College Account/Identity Mgmt,How To/Question,10/21/22 13:16,4,0
INC0120278,Self-service,,Networks,10/27/22 18:00,10/24/22 18:00,Server,Configure/Modify,10/7/22 15:04,20,2
INC0120661,Email,,On-Site Team,,,Computer (Desktop/Laptop),Broken/Not Working,10/31/22 12:04,10,1
INC0120097,Walk-in,,Service Desk,11/4/22 14:00,11/1/22 14:00,Computer (Desktop/Laptop),Broken/Not Working,9/29/22 13:27,4,1
INC0120782,Walk-in,,Service Desk,,11/4/22 12:00,College Account/Identity Mgmt,Password,11/4/22 13:58,0,0
INC0120767,Email,,Service Desk,,11/4/22 12:00,Desktop Application,Configure/Modify,11/4/22 9:29,2,0
INC0120747,Email,,Service Desk,,11/4/22 12:00,Google Mail,Configure/Modify,11/3/22 10:48,6,2
INC0120734,Email,,Service Desk,,11/4/22 12:00,Desktop Application,Configure/Modify,11/2/22 15:47,5,0
INC0120777,Email,,Service Desk,,11/4/22 12:00,Desktop Application,How To/Question,11/4/22 12:58,1,0
INC0120070,Email,,On-Site Team,,,Computer (Desktop/Laptop),Install/New,9/28/22 16:07,19,5
INC0120687,Self-service,Waiting for Customer Response,Service Desk,,,Peripheral,Replace/Upgrade,11/1/22 9:55,5,0
INC0120672,Self-service,,Service Desk,,11/4/22 12:00,Desktop Application,Install/New,10/31/22 17:29,7,0
INC0120689,Email,Waiting for Customer Response,Enterprise Applications,,,College Account/Identity Mgmt,Configure/Modify,11/1/22 10:33,26,3
INC0120774,Email,,Service Desk,,11/4/22 12:00,OS,Configure/Modify,11/4/22 12:10,1,0
INC0120695,Self-service,,Service Desk,11/4/22 13:00,11/1/22 13:00,General Information,How To/Question,11/1/22 12:24,2,0
INC0120693,Email,,Service Desk,11/4/22 13:00,11/1/22 13:00,Desktop Application,Configure/Modify,11/1/22 11:14,5,0
INC0120694,Phone,,Service Desk,11/4/22 13:00,11/1/22 13:00,Desktop Application,Configure/Modify,11/1/22 12:08,1,0
INC0119005,Self-service,,Service Desk,11/4/22 13:00,11/1/22 13:00,Phone/Fax/Credit Card Line,Connectivity/Down,8/23/22 12:50,28,5
INC0120671,Email,,Service Desk,,11/4/22 12:00,Google Mail,Configure/Modify,10/31/22 15:45,6,0
INC0120773,Email,,Service Desk,,11/4/22 12:00,Google Mail,How To/Question,11/4/22 11:56,2,0
INC0120772,Email,Waiting for Customer Response,Service Desk,,,Desktop Application,Configure/Modify,11/4/22 11:38,2,0
INC0120770,Self-service,,Service Desk,,11/4/22 12:00,Other Google Service,Configure/Modify,11/4/22 10:50,3,0
INC0120776,Phone,,Service Desk,,11/4/22 12:00,Desktop Application,Configure/Modify,11/4/22 12:27,0,0
INC0120745,Email,Waiting for Customer Response,Service Desk,,,Desktop Application,Configure/Modify,11/3/22 9:47,6,0
INC0120624,Email,,Enterprise Applications,,11/4/22 12:00,College Account/Identity Mgmt,Error/Bug,10/28/22 10:08,37,1
INC0120692,Self-service,,Service Desk,11/4/22 12:00,11/1/22 12:00,Windows File Server (fs),Configure/Modify,11/1/22 11:12,2,0
INC0120650,Email,,Service Desk,11/4/22 12:00,11/1/22 12:00,Desktop Application,Configure/Modify,10/31/22 10:16,5,0
INC0120764,Phone,Waiting for Customer Response,Service Desk,,,Computer (Desktop/Laptop),Broken/Not Working,11/3/22 16:17,2,1
INC0120771,Self-service,,Service Desk,,11/4/22 12:00,Peripheral,Install/New,11/4/22 11:04,1,0
INC0120766,Email,Waiting for Customer Response,Service Desk,,,Desktop Application,Configure/Modify,11/4/22 9:17,1,0
INC0120532,Email,,Service Desk,11/4/22 11:00,11/1/22 11:00,Desktop Application,Configure/Modify,10/24/22 9:47,5,0
INC0120680,Self-service,,Service Desk,11/4/22 11:00,11/1/22 11:00,General Information,How To/Question,11/1/22 8:52,7,0
INC0120688,Email,,Service Desk,11/4/22 11:00,11/1/22 11:00,Desktop Application,Configure/Modify,11/1/22 9:59,7,0
INC0120635,Email,Waiting for Customer Response,Service Desk,,,ERP,Configure/Modify,10/28/22 14:53,10,2
INC0120256,Email,Waiting for Customer Response,Service Desk,,,Monitor,Install/New,10/6/22 14:04,25,6
INC0119700,Self-service,,Student Interns,,,Computer (Desktop/Laptop),Install/New,9/14/22 17:46,15,3
INC0119671,Walk-in,,Student Interns,,,Computer (Desktop/Laptop),Install/New,9/14/22 10:26,7,3
INC0119867,Email,,Student Interns,,,Computer (Desktop/Laptop),Install/New,9/20/22 15:35,9,3
INC0120556,Walk-in,,Service Desk,11/4/22 10:00,11/1/22 10:00,Computer (Desktop/Laptop),Configure/Modify,10/25/22 9:23,10,3
INC0120681,Email,,Service Desk,11/4/22 10:00,11/1/22 10:00,Desktop Application,Configure/Modify,11/1/22 9:23,3,0
INC0120686,Email,,Service Desk,11/4/22 10:00,11/1/22 10:00,Google Mail,How To/Question,11/1/22 9:53,2,0
INC0120481,Email,,Service Desk,11/4/22 10:00,11/1/22 10:00,College Account/Identity Mgmt,Configure/Modify,10/20/22 9:30,7,2
INC0120684,Email,,Service Desk,11/4/22 10:00,11/1/22 10:00,Computer (Desktop/Laptop),Restore/Recover,11/1/22 9:38,1,0
INC0120585,Email,,Service Desk,,11/4/22 12:00,Desktop Application,How To/Question,10/26/22 9:12,2,0
INC0120763,Email,,Networks,,,Wired Network,Security/Policy Breach,11/3/22 15:11,2,1
INC0120765,Email,,Student Computing,,11/4/22 12:00,General Information,How To/Question,11/4/22 4:34,2,0
INC0120657,Self-service,Waiting for Customer Response,Service Desk,,,Desktop Application,Configure/Modify,10/31/22 10:55,13,0
INC0120675,Self-service,,Student Computing,11/3/22 19:00,10/31/22 19:00,Courseworks,How To/Question,10/31/22 17:51,3,0
INC0119849,Self-service,,Networks,,,Wireless Network,Error/Bug,9/20/22 11:29,29,0
INC0119858,Phone,,Service Desk,,,Wireless Network,Connectivity/Down,9/20/22 12:54,3,0
INC0120756,Self-service,Waiting for Customer Response,Service Desk,,,Desktop Application,Configure/Modify,11/3/22 13:45,1,0
INC0120470,Email,Waiting for Customer Response,Service Desk,,,Computer (Desktop/Laptop),Configure/Modify,10/19/22 16:04,19,0
INC0120571,Email,,Enterprise Applications,11/3/22 17:00,10/31/22 17:00,ERP,Configure/Modify,10/25/22 12:54,5,1
INC0114660,Self-service,,Service Desk,11/3/22 16:24,10/31/22 16:24,MFA,Configure/Modify,2/9/22 13:03,12,0
INC0120577,Email,,Service Desk,,11/4/22 12:00,Computer (Desktop/Laptop),Install/New,10/25/22 14:45,5,0
INC0120495,Self-service,,Service Desk,11/3/22 16:00,10/31/22 16:00,Desktop Application,How To/Question,10/20/22 14:56,3,0
INC0120670,Phone,,Service Desk,11/3/22 16:00,10/31/22 16:00,Computer (Desktop/Laptop),How To/Question,10/31/22 15:00,1,0
INC0120762,Email,,Service Desk,,11/4/22 12:00,Bogus/Duplicate Record,Maintenance,11/3/22 15:09,1,0
INC0120761,Self-service,,Service Desk,,11/4/22 12:00,General Information,How To/Question,11/3/22 15:05,1,0
INC0120755,Email,Waiting for Purchase Requisition,Purchasing,,,Computer (Desktop/Laptop),Install/New,11/3/22 13:32,7,1
INC0120617,Email,Waiting for Purchase Requisition,Purchasing,,,Computer (Desktop/Laptop),Install/New,10/27/22 14:35,10,1
INC0120760,Self-service,Waiting for Customer Response,Service Desk,,,Desktop Application,How To/Question,11/3/22 14:54,1,0
INC0120609,Email,Waiting for Purchase Requisition,Purchasing,,,OS,How To/Question,10/27/22 10:32,16,1
INC0120339,Walk-in,,Purchasing,,11/4/22 12:00,Peripheral,Install/New,10/12/22 9:47,11,1
INC0120581,Email,Waiting for Purchase Requisition,Purchasing,,,Computer (Desktop/Laptop),Install/New,10/25/22 15:43,7,1
INC0119966,Self-service,Waiting for Purchase Requisition,Purchasing,,,Computer (Desktop/Laptop),Install/New,9/23/22 15:14,5,1
INC0119973,Email,Waiting for Purchase Requisition,Purchasing,,,Peripheral,Install/New,9/25/22 16:15,2,1
INC0119768,Self-service,Waiting for Purchase Requisition,Purchasing,,,Computer (Desktop/Laptop),Configure/Modify,9/16/22 14:25,28,5
INC0119342,Email,Waiting for Purchase Requisition,Purchasing,,,Computer (Desktop/Laptop),Install/New,9/2/22 15:33,7,1
INC0119091,Self-service,Waiting for Purchase Requisition,Purchasing,,,Computer (Desktop/Laptop),Configure/Modify,8/25/22 14:01,12,1
INC0119283,Email,Waiting for Purchase Requisition,Purchasing,,,Computer (Desktop/Laptop),Install/New,9/1/22 11:59,21,5
INC0119282,Self-service,Waiting for Purchase Requisition,Purchasing,,,Computer (Desktop/Laptop),Install/New,9/1/22 11:28,12,3
INC0118730,Email,Waiting for Purchase Requisition,Purchasing,,,Computer (Desktop/Laptop),Install/New,8/10/22 15:24,36,1
INC0120725,Email,,Enterprise Applications,,11/4/22 12:00,Informer,Configure/Modify,11/2/22 12:16,6,1
INC0120576,Email,,Service Desk,,11/4/22 12:00,General Information,How To/Question,10/25/22 14:41,2,0
INC0120380,Phone,Waiting for Delivery,Service Desk,,,Computer (Desktop/Laptop),Replace/Upgrade,10/14/22 11:44,17,4
INC0120737,Phone,,Service Desk,,,Desktop Application,Configure/Modify,11/2/22 16:15,4,0
INC0120664,Email,,Service Desk,,11/4/22 12:00,Windows File Server (fs),How To/Question,10/31/22 12:58,3,0
INC0120286,Email,Waiting for Customer Response,Service Desk,,,Desktop Application,Configure/Modify,10/7/22 19:14,9,0
INC0120713,Self-service,Waiting for Customer Response,Service Desk,,,Peripheral,Replace/Upgrade,11/2/22 1:21,10,0
INC0120663,Email,,Service Desk,11/3/22 14:00,10/31/22 14:00,General Information,How To/Question,10/31/22 12:38,6,0
INC0120666,Email,,Service Desk,11/3/22 14:00,10/31/22 14:00,Google Mail,Security/Policy Breach,10/31/22 13:31,2,0
INC0120660,Walk-in,,Service Desk,11/3/22 14:00,10/31/22 14:00,Desktop Application,Configure/Modify,10/31/22 12:03,1,0
INC0120487,Email,,Service Desk,11/3/22 14:00,10/31/22 14:00,Desktop Application,Configure/Modify,10/20/22 11:20,12,0
INC0120491,Email,,Service Desk,11/3/22 14:00,10/31/22 14:00,College Account/Identity Mgmt,Configure/Modify,10/20/22 12:51,3,0
INC0120559,Email,,Service Desk,,11/4/22 12:00,ERP,Configure/Modify,10/25/22 9:46,14,2
INC0120642,Email,,Service Desk,,11/4/22 12:00,Google Mail,Configure/Modify,10/28/22 17:02,19,2
INC0120742,Email,,Service Desk,,11/4/22 12:00,Desktop Application,Configure/Modify,11/3/22 8:03,3,0
INC0120632,Self-service,,Networks,,11/4/22 12:00,Wired Network,Configure/Modify,10/28/22 11:33,34,4
INC0120594,Phone,Waiting for Customer Response,Student Computing,,,WebAdvisor,Error/Bug,10/26/22 14:00,4,0
INC0119993,Self-service,Waiting for Purchase Requisition,Purchasing,,,Computer (Desktop/Laptop),Install/New,9/26/22 12:50,11,3
INC0120489,Email,,Student Computing,11/3/22 13:00,10/31/22 13:00,General Information,How To/Question,10/20/22 12:34,5,0
INC0120662,Phone,,Service Desk,11/3/22 13:00,10/31/22 13:00,Computer (Desktop/Laptop),How To/Question,10/31/22 12:35,1,0
INC0120746,Phone,,Service Desk,,11/4/22 12:00,Desktop Application,Security/Policy Breach,11/3/22 10:32,2,0
INC0120750,Email,,Service Desk,,11/4/22 12:00,Desktop Application,Configure/Modify,11/3/22 10:51,3,0
INC0120658,Email,Waiting for Customer Response,Service Desk,,,Desktop Application,Configure/Modify,10/31/22 11:24,4,0
INC0120754,Self-service,Waiting for Customer Response,Service Desk,,,Computer (Desktop/Laptop),Broken/Not Working,11/3/22 11:25,7,0
INC0119978,Self-service,,Information Security,,,Desktop Application,Configure/Modify,9/26/22 10:07,6,1
INC0120153,Email,,Service Desk,11/3/22 12:00,10/31/22 12:00,Computer (Desktop/Laptop),Replace/Upgrade,10/3/22 14:39,12,2
INC0120630,Email,,Service Desk,11/3/22 12:00,10/31/22 12:00,ERP,Configure/Modify,10/28/22 11:12,16,4
INC0119963,Email,,Service Desk,11/3/22 12:00,10/31/22 12:00,Computer (Desktop/Laptop),Configure/Modify,9/23/22 14:20,16,2
INC0120551,Email,,Enterprise Applications,11/3/22 12:00,10/31/22 12:00,ERP,Configure/Modify,10/24/22 15:50,8,1
INC0120648,Email,,Service Desk,11/3/22 12:00,10/31/22 12:00,College Account/Identity Mgmt,Password,10/31/22 9:29,2,0
INC0120654,Phone,,Service Desk,11/3/22 12:00,10/31/22 12:00,College Account/Identity Mgmt,Password,10/31/22 10:45,1,0
INC0120126,Email,,Systems,,11/4/22 12:00,Desktop Application,Configure/Modify,10/1/22 11:16,6,1
INC0120753,Phone,,Service Desk,,11/4/22 12:00,Google Mail,How To/Question,11/3/22 11:20,0,0
INC0120751,Email,,Service Desk,,11/4/22 12:00,Google Mail,How To/Question,11/3/22 10:51,5,0
INC0120653,Email,,Service Desk,,11/4/22 12:00,Desktop Application,Configure/Modify,10/31/22 10:30,5,0
INC0120752,Phone,,Service Desk,,11/4/22 12:00,Desktop Application,Configure/Modify,11/3/22 11:12,0,0
INC0120433,Email,,Networks,,,Phone/Fax/Credit Card Line,How To/Question,10/18/22 14:13,26,1
INC0120207,Email,,Service Desk,11/3/22 11:00,10/31/22 11:00,College Account/Identity Mgmt,Configure/Modify,10/4/22 17:49,21,0
INC0120484,Self-service,,Service Desk,11/3/22 11:00,10/31/22 11:00,Desktop Application,Configure/Modify,10/20/22 9:59,3,0
INC0120744,Email,,Service Desk,,11/4/22 12:00,Computer (Desktop/Laptop),Configure/Modify,11/3/22 9:23,3,0
INC0119577,Email,,Information Security,,,Desktop Application,Configure/Modify,9/11/22 18:55,20,1
INC0120553,Email,,Student Computing,,11/4/22 12:00,College Account/Identity Mgmt,Configure/Modify,10/24/22 18:21,13,1
INC0120554,Email,,Student Computing,,11/4/22 12:00,College Account/Identity Mgmt,Configure/Modify,10/25/22 8:46,9,1
INC0120565,Email,,Student Computing,,11/4/22 12:00,Wireless Network,Connectivity/Down,10/25/22 11:06,1,0
INC0120678,Email,,Student Computing,,11/4/22 12:00,Portal,How To/Question,10/31/22 21:53,5,1
INC0120512,Self-service,Waiting for Customer Response,Student Computing,,,Google Mail,Configure/Modify,10/20/22 22:56,6,1
INC0120711,Email,,Student Computing,,11/4/22 12:00,College Account/Identity Mgmt,How To/Question,11/1/22 18:39,8,0
INC0120712,Email,,Student Computing,,11/4/22 12:00,Computer (Desktop/Laptop),How To/Question,11/1/22 21:10,3,0
INC0120043,Self-service,Waiting for Customer Response,Student Computing,,,Google Mail,How To/Question,9/27/22 18:32,29,0
INC0120196,Self-service,Waiting for Delivery,Service Desk,,,Computer (Desktop/Laptop),Install/New,10/4/22 16:10,17,4
INC0120735,Self-service,,Service Desk,,11/4/22 12:00,Desktop Application,Configure/Modify,11/2/22 15:55,3,0
INC0120627,Email,,Enterprise Applications,11/3/22 10:00,10/31/22 10:00,ERP,Configure/Modify,10/28/22 11:08,13,1
INC0120646,Self-service,,Student Computing,11/3/22 10:00,10/31/22 10:00,General Information,How To/Question,10/29/22 0:04,3,0
INC0120647,Email,,Student Computing,11/3/22 10:00,10/31/22 10:00,MFA,How To/Question,10/31/22 8:05,4,0
INC0120733,Self-service,,Service Desk,,,OS,How To/Question,11/2/22 15:20,9,0
INC0120741,Self-service,Waiting for Customer Response,Student Computing,,,General Information,How To/Question,11/2/22 20:13,2,0
INC0120743,Self-service,,Networks,,11/4/22 12:00,Wireless Network,Error/Bug,11/3/22 8:47,4,0
INC0119322,Email,,Service Desk,,11/4/22 12:00,Peripheral,Install/New,9/2/22 9:35,6,0
INC0120710,Email,Waiting for Customer Response,Networks,,,Wired Network,Configure/Modify,11/1/22 16:49,5,1
INC0120697,Phone,,Service Desk,,11/4/22 12:00,College Account/Identity Mgmt,Password,11/1/22 13:28,5,1
INC0120709,Self-service,,Service Desk,,11/4/22 12:00,Desktop Application,Configure/Modify,11/1/22 16:26,7,0
INC0120718,Email,,Service Desk,,11/4/22 12:00,Google Alias/Group,Configure/Modify,11/2/22 10:23,3,0
INC0120729,Self-service,,Service Desk,,11/4/22 12:00,Phone/Fax/Credit Card Line,Relocate/Transfer,11/2/22 13:58,3,0
INC0120431,Email,,Service Desk,,11/4/22 12:00,OS,How To/Question,10/18/22 13:39,13,0
INC0120651,Walk-in,,Service Desk,,11/4/22 12:00,College Account/Identity Mgmt,Password,10/31/22 10:19,1,0
INC0120652,Email,,Service Desk,,11/4/22 12:00,Desktop Application,Configure/Modify,10/31/22 10:20,4,2
INC0120731,Email,,Service Desk,,11/4/22 12:00,Desktop Application,Configure/Modify,11/2/22 15:00,2,0
INC0120739,Email,Waiting for Customer Response,Student Computing,,,General Information,How To/Question,11/2/22 16:33,2,0
INC0116003,Email,,Service Desk,,,Computer (Desktop/Laptop),Loaner Equipment,4/4/22 9:06,3,0
INC0120516,Email,Waiting for Delivery,Service Desk,,,Computer (Desktop/Laptop),Replace/Upgrade,10/21/22 11:48,6,2
INC0120344,Self-service,Waiting for Delivery,Service Desk,,,Computer (Desktop/Laptop),Install/New,10/12/22 11:37,5,2
INC0120716,Self-service,,Enterprise Applications,,,ERP,Export/Import,11/2/22 9:42,12,1
INC0120736,Self-service,,Service Desk,,11/4/22 12:00,Computer (Desktop/Laptop),Configure/Modify,11/2/22 16:12,1,0
INC0120094,Email,,Enterprise Applications,,,ERP,Configure/Modify,9/29/22 12:04,8,1
INC0120455,Email,Waiting for Delivery,Service Desk,,,Computer (Desktop/Laptop),Install/New,10/19/22 10:46,8,2
INC0120549,Email,,Service Desk,,11/4/22 12:00,Desktop Application,Configure/Modify,10/24/22 15:49,4,0
INC0120464,Email,,Enterprise Applications,,,ERP,Configure/Modify,10/19/22 14:23,7,1
INC0120730,Self-service,,On-Site Team,,,Monitor,Relocate/Transfer,11/2/22 14:15,2,1
INC0120728,Email,Waiting for Customer Response,Service Desk,,,Other Google Service,Configure/Modify,11/2/22 13:36,4,0
INC0120726,Self-service,,Enterprise Applications,,,OnGuard 2009 (Lenel),How To/Question,11/2/22 13:11,1,1
INC0120732,Self-service,Waiting for Customer Response,Student Computing,,,WebAdvisor,Error/Bug,11/2/22 15:03,6,0
INC0120685,Email,Waiting for Customer Response,Service Desk,,,Google Alias/Group,Configure/Modify,11/1/22 9:53,8,0
INC0120644,Email,,Information Security,,,Google Mail,Security/Policy Breach,10/28/22 17:40,3,1
INC0120649,Email,,Information Security,,11/4/22 12:00,Google Mail,Security/Policy Breach,10/31/22 9:54,6,1
INC0120545,Email,,Student Computing,,11/4/22 12:00,General Information,How To/Question,10/24/22 14:45,2,0
INC0120221,Email,,Enterprise Applications,,,ERP,Export/Import,10/5/22 14:35,2,0
INC0120130,Email,,Enterprise Applications,,11/4/22 12:00,College Account/Identity Mgmt,Configure/Modify,10/2/22 14:41,14,1
INC0120575,Email,Waiting for Customer Response,Enterprise Applications,,,ERP,Configure/Modify,10/25/22 14:33,9,1
INC0120727,Self-service,Waiting for Customer Response,Service Desk,,,General Information,How To/Question,11/2/22 13:25,4,1
INC0120717,Self-service,Waiting for Customer Response,Service Desk,,,Office Printer,Broken/Not Working,11/2/22 10:00,4,1
INC0117210,Phone,,Service Desk,,11/4/22 12:00,Computer (Desktop/Laptop),Install/New,5/31/22 15:08,41,8
INC0120436,Email,,Service Desk,,11/4/22 12:00,ERP,Configure/Modify,10/18/22 14:35,14,2
INC0120535,Email,,Service Desk,,11/4/22 12:00,General Information,How To/Question,10/24/22 11:18,4,0
INC0120543,Phone,,Service Desk,,11/4/22 12:00,Desktop Application,Configure/Modify,10/24/22 14:22,6,0
INC0120621,Email,Waiting for Customer Response,Student Computing,,,Courseworks,Error/Bug,10/28/22 0:33,5,0
INC0120724,Walk-in,,Service Desk,,11/4/22 12:00,Computer (Desktop/Laptop),Configure/Modify,11/2/22 11:34,0,0
INC0120574,Self-service,,Service Desk,,11/4/22 12:00,Windows File Server (fs),Configure/Modify,10/25/22 14:22,5,0
INC0120723,Email,Waiting for Customer Response,Service Desk,,,General Information,How To/Question,11/2/22 11:05,1,0
INC0120719,Email,Waiting for Customer Response,Service Desk,,,Peripheral,Install/New,11/2/22 10:27,3,0
INC0120722,Phone,,Service Desk,,11/4/22 12:00,College Account/Identity Mgmt,Password,11/2/22 11:00,0,0
INC0120720,Email,Waiting for Customer Response,Student Computing,,,Portal,Error/Bug,11/2/22 10:33,3,0
INC0120561,Self-service,,Service Desk,,11/4/22 12:00,Desktop Application,Configure/Modify,10/25/22 10:12,3,0
INC0120721,Phone,,Service Desk,,11/4/22 12:00,Desktop Application,Security/Policy Breach,11/2/22 10:37,0,0
INC0118447,Email,,Service Desk,10/9/22 13:00,10/6/22 13:00,Computer (Desktop/Laptop),Install/New,7/29/22 9:51,30,6
INC0120715,Walk-in,,Service Desk,,11/4/22 12:00,College Account/Identity Mgmt,How To/Question,11/2/22 9:41,2,0
INC0120714,Email,,Service Desk,,11/4/22 12:00,Computer (Desktop/Laptop),Configure/Modify,11/2/22 9:37,2,0
INC0115286,Email,Waiting for Purchase Requisition,Purchasing,,,Computer (Desktop/Laptop),Install/New,3/3/22 13:58,28,5
INC0120682,Walk-in,,Service Desk,,11/4/22 12:00,OS,How To/Question,11/1/22 9:25,2,0
INC0120528,Email,,Service Desk,,11/4/22 12:00,MFA,Configure/Modify,10/22/22 16:37,3,0
INC0120690,Email,Waiting for Customer Response,Service Desk,,,Peripheral,Replace/Upgrade,11/1/22 10:41,8,0
INC0120614,Email,Waiting for Pickup,Service Desk,,,Desktop Application,Configure/Modify,10/27/22 12:58,9,4
INC0120708,Email,Waiting for Customer Response,Service Desk,,,Computer (Desktop/Laptop),Configure/Modify,11/1/22 15:57,4,0
INC0120705,Email,Waiting for Purchase Requisition,Purchasing,,,Computer (Desktop/Laptop),Install/New,11/1/22 15:23,4,1
INC0120622,Email,Waiting for Purchase Requisition,Purchasing,,,Computer (Desktop/Laptop),Install/New,10/28/22 9:24,8,1
INC0119878,Self-service,Waiting for Customer Response,Enterprise Applications,,,ERP,Configure/Modify,9/20/22 20:25,17,1
INC0120564,Email,Waiting for Customer Response,Enterprise Applications,,,ERP,Configure/Modify,10/25/22 10:52,9,1
INC0120062,Self-service,Waiting for Pickup,Service Desk,,,Desktop Application,Configure/Modify,9/28/22 11:55,14,2
INC0120696,Email,Waiting for Customer Response,Service Desk,,,Desktop Application,Configure/Modify,11/1/22 13:12,1,0
INC0120569,Email,Waiting for Customer Response,Service Desk,,,Windows File Server (fs),Configure/Modify,10/25/22 11:44,7,0
INC0120665,Self-service,,On-Site Team,,,Monitor,Configure/Modify,10/31/22 13:17,4,1
INC0119547,Email,,Service Desk,,,Computer (Desktop/Laptop),Install/New,9/9/22 12:40,12,3
INC0120691,Self-service,Waiting for Customer Response,Student Computing,,,College Account/Identity Mgmt,How To/Question,11/1/22 11:11,2,0
INC0120677,Self-service,Waiting for Customer Response,Student Computing,,,Other Google Service,Install/New,10/31/22 21:50,2,0
INC0120676,Self-service,Waiting for Customer Response,Student Computing,,,Desktop Application,Install/New,10/31/22 19:08,2,0
INC0120679,Email,Waiting for Customer Response,Student Computing,,,MFA,How To/Question,10/31/22 22:25,2,0
INC0120486,Email,,Enterprise Applications,,,ERP,Configure/Modify,10/20/22 11:14,8,1
INC0120592,Walk-in,,Service Desk,10/31/22 11:00,10/28/22 11:00,Computer (Desktop/Laptop),Loaner Equipment,10/26/22 13:20,9,2
INC0120636,Email,Waiting for Customer Response,Service Desk,,,ERP,Configure/Modify,10/28/22 15:51,9,4
INC0120637,Email,,Service Desk,10/31/22 17:00,10/28/22 17:00,Google Mail,How To/Question,10/28/22 16:07,2,0
INC0120586,Email,,Enterprise Applications,10/31/22 17:00,10/28/22 17:00,ERP,Configure/Modify,10/26/22 11:06,8,1
INC0120388,Email,,Service Desk,10/31/22 17:00,10/28/22 17:00,Peripheral,Replace/Upgrade,10/14/22 15:47,6,0
INC0120639,Email,,Service Desk,10/31/22 17:00,10/28/22 17:00,Google Mail,How To/Question,10/28/22 16:15,2,0
INC0120640,Email,,Service Desk,10/31/22 17:00,10/28/22 17:00,Google Mail,How To/Question,10/28/22 16:17,2,0
INC0120641,Walk-in,,Service Desk,10/31/22 17:00,10/28/22 17:00,College Account/Identity Mgmt,Password,10/28/22 16:34,1,0
INC0120634,Email,,Student Computing,10/31/22 17:00,10/28/22 17:00,Other/Not Listed,How To/Question,10/28/22 12:53,4,0
INC0120588,Email,,Enterprise Applications,10/31/22 17:00,10/28/22 17:00,ERP,Configure/Modify,10/26/22 11:43,6,1
